,,Norm,Mean,StdDev,Slop,Cons,Chi2 / NDF,Prob,Gain,Exposure time
Co60,1173.0,24358.6199 ± 751.634,3947.9462 ± 0.0192,2.6246 ± 0.0523,-25.3182 ± 0.0387,99997.9249 ± 153,7.7821 / 7,0.3522,3.0,6471.195
Co60,1332.0,20084.0975 ± 804.7776,4484.4061 ± 0.0219,2.648 ± 0.0666,-31.6838 ± 0.0322,142239.8708 ± 145,3.0703 / 7,0.8784,3.0,6471.195
Na22,511.0,49222.227 ± 3954.4003,1718.3663 ± 0.03,2.7277 ± 0.0946,0.7025 ± 0.2541,1300.5032 ± 436,2.4679 / 2,0.2911,3.0,7218.007
Na22,1274.57,17896.6108 ± 478.9844,4288.7613 ± 0.0221,2.8696 ± 0.0546,-15.8103 ± 0.0225,67775.2133 ± 96,4.989 / 9,0.8353,3.0,7218.007
Cs137,661.65,6804.067 ± 241.6837,3847.0375 ± 0.0472,3.8076 ± 0.104,-1.8696 ± 0.0105,7185.7174 ± 40,15.621 / 14,0.3371,5.2,7217.991
Zn65,1115.53,502.6237 ± 92.1748,6239.0796 ± 0.1875,3.4806 ± 0.4406,0.1385 ± 0.0027,-858.7155 ± 17,3.696 / 12,0.9883,5.0,7218.003
Co57,122.0,8624.5948 ± 154.8727,683.2272 ± 0.034,2.3915 ± 0.0369,0.7001 ± 1.0641,-467.863 ± 734,7.4932 / 10,0.6782,5.0,7218.003
Co57,136.0,1070.922 ± 34.7383,763.7287 ± 0.0778,2.4149 ± 0.0704,-0.0738 ± 0.0885,58.669 ± 68,14.8651 / 14,0.3874,5.0,7218.003
Mn54,834.84,3402.4781 ± 94.316,4668.0626 ± 0.0675,3.8653 ± 0.0972,-0.1551 ± 0.0044,724.1005 ± 20,15.0947 / 17,0.5887,5.0,7218.032
Cd109,88.03,1568.3521 ± 161.4609,995.2606 ± 0.2135,4.3943 ± 0.3129,-0.0084 ± 0.373,13.6511 ± 369,19.8478 / 16,0.2272,9.998,5413.503
Ba133,53.16,2819.5329 ± 298.8635,603.4078 ± 0.1695,3.6076 ± 0.2559,-0.424 ± 1.0698,381.9334 ± 647,19.0216 / 13,0.1224,9.999,3609.0
Ba133,80.9,58494.3232 ± 380.7687,916.3383 ± 0.0241,4.3506 ± 0.0251,-15.4143 ± 0.7211,14445.8588 ± 666,41.3994 / 23,0.0107,9.999,3609.0
Ba133,276.39,6859.7083 ± 96.2744,3116.1937 ± 0.0751,5.4536 ± 0.0708,-0.0383 ± 0.0676,130.8072 ± 211,51.888 / 36,0.042,9.999,3609.0
Ba133,302.85,15562.1495 ± 192.3715,3413.9884 ± 0.0576,5.5934 ± 0.0632,-0.0593 ± 0.2038,212.3228 ± 696,37.2305 / 28,0.1139,9.999,3609.0
Ba133,356.0,45067.9685 ± 236.286,4012.7654 ± 0.0305,5.8833 ± 0.0281,-0.2072 ± 0.1244,839.9094 ± 499,37.2073 / 35,0.3677,9.999,3609.0
Ba133,383.85,5975.9072 ± 175.0583,4326.2908 ± 0.0817,6.0713 ± 0.1444,0.0518 ± 0.0051,-225.5432 ± 22,21.7834 / 26,0.7005,9.999,3609.0
