,,Norm,Sigma,Sigma_error,Mean,Mean_error,Gain
^{60}Co,1173.0,24358.6199,2.6246,0.05256276344181306,3947.9462,7.895915743748647,3.0
^{60}Co,1332.0,20084.0975,2.648,0.06681023586247845,4484.4061,8.968838937614436,3.0
^{22}Na,511.0,49222.227,2.7277,0.09475717064771405,1718.3663,3.4368635358277984,3.0
^{22}Na,1274.57,17896.6108,2.8696,0.054900805245824955,4288.7613,8.577551070294525,3.0
^{137}Cs,661.65,6804.067,2.1966923076923073,0.06016063354369448,2219.4447115384614,4.438972947101286,5.2
^{65}Zn,1115.53,502.6237,2.08836,0.264392992702073,3743.44776,7.4877406991292155,5.0
^{57}Co,122.0,8624.5948,1.4349,0.022325217849776965,409.93631999999997,0.8201263962466819,5.0
^{57}Co,136.0,1070.922,1.44894,0.04233928800174136,458.23722,0.9176624769343648,5.0
^{54}Mn,834.84,3402.4781,2.3191800000000002,0.05850416039470697,2800.83756,5.60182152518509,5.0
^{109}Cd,88.03,1568.3521,1.3185537107421486,0.09392580542100089,298.6379075815163,0.6007016258776771,9.998
^{133}Ba,53.16,2819.5329,1.0823882388238824,0.07680819006206786,181.0404440444044,0.36563480310449453,9.999
^{133}Ba,80.9,58494.3232,1.3053105310531052,0.00797041932467586,274.9289828982898,0.5499055063427724,9.999
^{133}Ba,276.39,6859.7083,1.6362436243624359,0.021492720019788088,934.9516051605159,1.8700389617343032,9.999
^{133}Ba,302.85,15562.1495,1.6781878187818782,0.01925665507107394,1024.2989498949894,2.0486707917946583,9.999
^{133}Ba,356.0,45067.9685,1.7651665166516652,0.009140151335632467,1203.9500150015,2.4079174183795136,9.999
^{133}Ba,383.85,5975.9072,1.8215721572157213,0.04347723865750852,1298.0170417041704,2.5961498074040006,9.999
