,,energy_calc,percent_err,Sigma,err_sigma,Mean,err_mean,delta_FWHM,delta_Res
^{60}Co,1173.0,1173.4622755400935,0.03940967946236273,2.6246,0.052562763441813,3947.9462,7.895915743748647,0.00010547918885422422,3.150791045844169e-05
^{60}Co,1332.0,1333.0090411411027,0.07575383942212242,2.648,0.0668102358624784,4484.4061,8.968838937614436,0.00011802326748476744,3.5192976881117723e-05
^{22}Na,511.0,510.3702873150254,0.12323144520051006,2.7277,0.094757170647714,1718.3663,3.4368635358277984,0.0004372043012643578,0.00013006866388383495
^{22}Na,1274.57,1274.822967873266,0.019847311114024015,2.8696,0.0549008052458249,4288.7613,8.577551070294525,0.00010141134882193387,3.0308519059764417e-05
^{137}Cs,661.65,659.3943613855249,0.34091114856420474,2.1966923076923077,0.0601606335436944,2219.444711538461,4.438972947101286,0.00021484482441248062,6.400012355044524e-05
^{65}Zn,1115.53,1112.6430704653956,0.2587944326557247,2.08836,0.264392992702073,3743.44776,7.487740699129215,0.0005595666171004357,0.00016633746712193604
^{57}Co,122.0,121.23445195362564,0.6274983986675106,1.4349,0.0223252178497769,409.93632,0.8201263962466819,0.00043363804310714483,0.00012929984608113932
^{57}Co,136.0,135.5994629649198,0.2945125257942582,1.44894,0.0423392880017413,458.23722,0.9176624769343648,0.000735264003992641,0.0002180863153921621
^{54}Mn,834.84,832.3044866634742,0.3037124882044236,2.31918,0.0585041603947069,2800.83756,5.60182152518509,0.00016552448271357791,4.934206036087145e-05
^{109}Cd,88.03,88.1335590110287,0.11764058960433176,1.3185537107421486,0.0939258054210008,298.6379075815163,0.6007016258776771,0.0025095817283785384,0.0007409191042797477
^{133}Ba,53.16,53.15928609663417,0.0013429333442958272,1.0823882388238824,0.0768081900620678,181.0404440444044,0.3656348031044945,0.003402405842168676,0.0009994601234510666
^{133}Ba,80.9,81.08236609038968,0.22542161976474412,1.3053105310531052,0.0079704193246758,274.9289828982898,0.5499055063427724,0.00023147947079054474,7.183747402681938e-05
^{133}Ba,276.39,277.3775124851803,0.3572895130722284,1.636243624362436,0.021492720019788,934.951605160516,1.8700389617343032,0.00018246427935479748,5.4756715031181686e-05
^{133}Ba,302.85,303.95001094671227,0.3632197281532923,1.6781878187818782,0.0192566550710739,1024.2989498949894,2.0486707917946583,0.0001491888656966084,4.493770516132215e-05
^{133}Ba,356.0,357.3794403868626,0.38748325473668477,1.7651665166516652,0.0091401513356324,1203.9500150015,2.4079174183795136,6.022565695571219e-05,1.916452228011625e-05
^{133}Ba,383.85,385.355603861737,0.3922375567896241,1.8215721572157213,0.0434772386575085,1298.0170417041704,2.5961498074040006,0.00026567947129174,7.915143366434542e-05
